No,Price,Title,Area,Bedrooms,WCs,Address,Postdate,Description,
11,19,"Bán Nhà Mặt tiền đường Kha Vạn Cân, P. Linh Đông, dt 180m2 giá 19 tỷ TL",180,,,"Đường Kha Vạn Cân, Phường Linh Đông, Quận Thủ Đức, TP HCM",2023-12-08 09:42:27,"- Vị trí sát đường Phạm Văn Đồng, chợ Thủ Đức, con đường kinh doanh sầm uất, đa ngành nghề. |- Vị trí Đẹp Thuận Tiện Xây Toà Nhà Vp, Cty, Chdv Cao Cấp, Ngay Trường Cao Đẳng Vinatex, dễ dàng di chuyển các hướng........ |- Diện tích: 180m2  ( 6,3m x 28,5m ) Thổ cư 100%  |- Giá bán : 19 tỷ ( thương lượng ) |- Hiện tại chủ Đang Cho thuê 40triệu/tháng  |Liên Hệ Em Long 0898 408 677 để được xem và mua nhanh nhất!! Mong tiếp khách thiện chí",
12,5.29,"Bán nhà Âu Cơ-Tây Hồ 42m, NGÕ THÔNG, DÂN XÂY 4 ngủ chỉ 5.29 tỷ",42,4,3,,2023-12-08 10:15:08,"+ Em cần bán căn nhà phố Âu Cơ, phường Tứ Liên, quận Tây Hồ với diện tích 42m. |+ Nhà xây 4 tầng, cầu thang giữa mỗi tầng có 2 phòng, vệ sinh. Tổng có 4 phòng ngủ. Tầng 4 là phòng thời, khu giặt giũ, sân phơi. |+ Vị trí nhà nằm gần trường cấp 2 Tứ Liên. |+ Khu vực đầy đủ tiện ích, gần chợ, trường học, phố Tứ Liên to đẹp, phố Âu Cơ đang trong quá trình hoàn thiện. Khu vực không khí lúc nào cũng ôn hòa do nằm giữa sông Hồng và hồ Tây. |+ Giao thông thuận lợi, ngõ thông, 3 gác. Từ nhà di chuyển đi các hướng đều vô cùng thuận lợi. |+ Sổ đỏ chính chủ, sẵn sàng giao dịch. |+ Liên hệ em Ánh thổ cư 0865775442 để xem nhà và làm việc trực tiếp với chủ.",
13,8.6,"Bán nhà phố Đào Tấn, Ba Đình, gần phố, ở ngay 6 tầng 39m2 giá 8.6 tỷ",39,4,5,,2023-12-08 10:19:10,"- Vị trí nằm cách mặt phố 1 nhà, lõi Ba Đình, tiện ích ngập tràn, tuyến phố đẹp nhất Quận, vài bước chân ra Lotte, khách sạn Daewoo. Khu vực tập trung rất nhiều người Hàn Quốc, Nhật Bản sinh sống và làm việc. |- Gần Trường tiểu học Nguyễn Bá Ngọc, THCS Hoàng Diệu, THPT Thực Nghiệm. Giao thông vô cùng thuận tiện, đi vào Trung tâm thành phố hay ra sân bay đều rất dễ dàng.  |- Nhà dân xây khung cột rất chắc chắn, có đầy đủ hồ sơ kỹ thuật điện nước, xây dựng, hoàn công.  |- Thiết kế: |+ Tầng 1: Phòng khách, bếp, WC.  |+ Tầng 2,3,4,5: Mỗi tầng 1 phòng rộng đẹp, WC khép kín.  |+ Tầng 6: Sân phơi, trồng cây cảnh.  |- Sổ đỏ vuông đẹp, giao dịch ngay.",
14,21.8,Trương Đức Toàn,80,8,8,Thành phố Hồ Chí Minh,2023-12-08 10:31:28,"-NHÀ RỘNG 4X20M 1 HẦM 5 TẦNG, TẦNG THƯỢNG. CÓ 15 PHÒNG . PHÙ HỢP LÀM CĂN HỘ DỊCH VỤ HOẶC CÔNG TY KINH DOANH.  |✅ Chỉ 21 t.y 68 TLcc. Pháp lý chuẩn. |☎️Zalo.0938059388.Nha Phố SG. |#nhaphosaigon,#quan11,#Đường 3-2, #mattien,#kinhdoanh, #tphcm. |-Vị trí TT Quận 11, Trục Đường 3/2, MTKD đỉnh, Cho thuê thu nhập 100tr.th. |+ Pháp lý đầy đủ, sổ tại gia, công chứng ngay.",
15,5.95,"Nhà 6 Tầng, Hộ Khẩu Cầu Giấy, Ô Tô Đỗ Cửa, Ngõ Thông",40,3,4,,2023-12-08 10:38:52,"Thiết kế đầy đủ công năng, 6 tầng, mỗi tầng 1 phòng khép kín |DT 40m2, MT 4.2m, ô tô đỗ cửa, ngõ thông |Sổ đỏ chính chủ, nở hậu – Giá 5.95 tỷ (Có thương lượng) |Liên hệ: 0825.420.555",
16,4,"SÁT MẶT TIỀN BẠCH ĐẰNG, PHƯỜNG 14, BÌNH THẠNH, 3 TẦNG BTCT, 33M2, 4.x TỶ",33,3,3,,2023-12-08 10:59:42,"- Kết cấu: 1 trệt 2 lầu BTCT; 3 PN, 3 WC |- Đường đi an ninh, sạch sẽ. Khu vực Bạch Đằng, Lê Quang Định, chợ Bà Chiểu |- Gần BV Gia Định, UBND quận, công an phường; tiện ích đầy đủ |- Sổ hồng chính chủ, hoàn công đủ, pháp lý chuẩn, công chứng mua bán ngay",
17,6.9,"Phân lô ô tô tránh Hà Đông, dân trí cao, an ninh tốt, 54m2, 6.9 tỷ",54,,,Bà Triệu Hà Đông,2023-12-08 11:00:39,"+ Diện tích 54m2, nhà xây 3 tầng chắc chắn, đường trước nhà rải nhựa thẳng tắp. |+ Khu vực nhiều tiện ích, xung quanh nhiều trường học, gần chợ Hà Đông, sân bóng Hà Đông, các cơ quan chính phủ nhà nước,... |+ Giao thông thuận tiện, dễ dàng di chuyển sang Tô Hiệu, Tản Đà, Lê Hồng Phong, Nhuệ Giang, Phùng Hưng,... |+ Chủ nhà cô Loan nay tuổi già bán đi về quê ở cùng họ hàng. |+ Giá  6.9 tỷ ( có thương lượng với khách thiện chí)  |+ Sổ đỏ chính chủ, sẵn sàng giao dịch. |+ Liên hệ E Quân Nhà Đẹp 0934503893 xem nhà ngay.",
18,19,"Bán nhà 2 mặt tiền đường Phạm Văn Đồng, Thủ Đức - 118m2 - full thổ cư - 23,5 tỷ",118,,,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức, TP HCM",2023-12-08 11:42:43,"- Ngân hàng Techcombank. Cho vay đến 17tỷ lãi suất ưu đãi, khách chỉ cần số tiền còn lại. |- Bán nhà 2 mặt tiền đường Phạm Văn Đồng và Kha Vạn Cân, Phường Hiệp Bình Chánh, Thủ Đức.  |- Ví trí đẹp đối diện Trung tâm thương mại GigaMall. |- Vị trí khu vực kinh doanh sầm uất, tấp nập. Thích hợp xây cao ốc, văn phòng, khách sạn, showroom hoặc kinh doanh buôn bán ……. |- Hiện đang cho thuê 30tr/tháng. |- Hướng : Bắc - Nam |- Diện tích : 5,9m x 20m, full thổ cư, sổ hồng riêng. |- Giá bán:  23,5 tỷ ( thương lượng ) |- Hỗ trợ vay Ngân Hàng. |Liên Hệ Em Long 0898 408 677 để được xem và mua nhanh nhất!! Mong tiếp khách thiện chí",
19,TT,Cửa nhựa giá rẻ lắp đặt phòng ngủ và Toilet | Cửa nhựa Đài Loan,,,,,2023-12-08 11:53:52," |HOTLINE + zalo: 035.312.6411 – 0888.696.029 (NVKD Như Ý) | |Website: http://cuanhuacuago.net | |Cửa nhựa giá rẻ lắp đặt phòng ngủ và Toilet | Cửa nhựa Đài Loan |Bảng giá các dòng cửa nhựa Đài Loan tại TP.HCM |1. Giá cửa nhựa Đài Loan ghép thanh |Stt	DIỄN GIẢI	ĐVT	ĐƠN GIÁ |(VNĐ)	SỐ LƯỢNG	THÀNH TIỀN |(VNĐ) |8	Cửa nhựa cao cấp Đài Loan ghép thanh |– Kích thước: (900 x 2.050)mm |– Độ dày cánh 35 mm (± 2). |– Kết cấu cánh bằng nhựa ghép thanh hoặc nhựa đúc. |– Khung bao PVC. |– Phủ vân gỗ.	Bộ	1,950,000	1	1,950,000 | |	Bản lề (3 cái/ bộ)	Cái	20,000	3	60,000 | |	khoá tròn trơn	Bộ	200,000	1	200,000 | |	Nẹp chỉ 2 mặt	Bộ	250,000	1	250,000 | |	lắp đặt TP.HCM	Bộ	400,000	1	400,000 | |	Vận chuyển	Chuyến	400,000	1	400,000 |Tổng giá trị	 |	 |	 |	3,260,000 |2. Giá cửa nhựa Đài Loan đúc (Cửa nhựa giá rẻ lắp đặt phòng ngủ và Toilet) |Sản phẩm	Thành tiền VNĐ |Cửa nhựa Đài Loan đúc cao cấp |– Kích thước: (800 x 2050) mm |– Độ dày cánh 35mm (± 2). |– Kết cấu cánh bằng nhựa đúc |– Khung bao PVC.	2.000.000 |+ Bản lề (3 cái/bộ)	60.000 |+ Khóa tròn trơn Pansini	200.000 |+ Nẹp chỉ 2 mặt	300.000 |+ Lắp đặt hoàn thiện (bao gồm công lắp, foam, silicon, đinh vít các loại,…	350.000 |+ Vận chuyển miễn phí (từ 4 bộ trở lên)	 | |Tổng cộng	2.910.000 |Cửa nhựa Đài Loan là gì ? (Cửa nhựa giá rẻ lắp đặt phòng ngủ và Toilet) | |Cửa nhựa Đài Loan được làm từ chất liệu nhựa PVC và keo chuyên dụng trộn lẫn đều với nhau Các thành phần trên giúp cánh cửa nhẹ nhưng vẫn cực kỳ bền . Sau đó , được đúc theo từng thanh ghép lại với nhau và ghép lại thành cánh cửa hoặc đúc theo khuôn có sẳn và được khắc họa tiết tạo nhiều mẫu mã và kiểu dáng và đa dạng. | | | | |Sơ lược về cấu tạo cửa nhựa Đài Loan | |Cửa nhựa Đài Loan là loại cửa được sản xuất từ hạt nhựa PVC cùng một số chất phụ gia tạo thành. Vật liệu được đúc thành tấm cửa với nhiều kiểu dáng theo khuôn mẫu có sẵn hoặc đúc theo thành từng thanh và ghép lại thành cánh cửa.  Lớp ngoài cùng cánh cửa được phủ lên một lớp da giả gỗ với công nghệ dán hiện đại, lớp da đó cũng làm từ nhựa chống thấm nước. Cửa nhựa Đài Loan mang đến cho khách hàng cảm giác như đang sử dụng cửa gỗ tự nhiên. | |Hiện nay cửa nhựa Đài Loan bao gồm 2 loại là ghép thanh và dạng đúc. Loại ghép thanh này được rất nhiều khách hàng tin dùng, hơn cả bởi những sản phẩm nhẹ, giá thành thì hợp lí, có nhiều kiểu dáng hiện đại với những dạng Panel, ô kính, lá sách giúp tăng sự thông thoáng và mới lạ. | |Thông số kỹ thuật |Kích thước phủ bì (800 x 2100 /900 x 2.200)mm hoặc gia công theo kích thước thực tế tại công trình. |Khung bao chuẩn (55 x 100)mm (Làm bằng nhựa PVC hoặc nhựa gỗ) |Dày cánh : 35 mm | |+ Cấu tạo cánh : Cấu tạo đúc nguyên khối hoặc ghép thanh theo mẫu nhà sản xuất | |>>>Xem thêm: Top 20 mẫu cửa nhựa phòng ngủ mới nhất 2023. | |Ưu điểm cửa nhựa Đài Loan lắp đặt PN và Toilet | |+ Lớp màu dày chống cào xước, dễ lau chùi và không bị phai màu, được thiết kế giống như gỗ thật nên vẫn tạo được cảm giác như gỗ thật. | |+ Kết cấu của cửa được làm từ nhựa nên khả năng chống bị cong vênh hay mối mọt gây hư hại đến cửa giúp giảm chi phí cũng như thời gian sửa chữa hay kiểm tra định kì như những sản phẩm của khác. | |+ Trọng lượng cửa nhẹ làm giảm tải trọng công trình, tránh tình trạng sệ bản lề, có thể lắp đặt nhanh chóng, hoàn thành đúng thời hạn quy định, giảm các vấn đề phát sinh về sau | |+ Sản xuất nhanh, lắp đặt dễ dàng nhanh chóng và khả năng bảo trì dễ. | |+ Giá thành rẻ phù hợp với hầu hết với tất cả mọi người | |+ Sản phẩm nhựa giả gỗ là vật liệu thay thế gỗ, giảm việc khai thác gỗ phá rừng, sản xuất theo hệ thống tiết kiệm nhiên liệu và có thể tái sử dụng. | |Thông tin liên hệ mua cửa – Cửa nhựa giá rẻ lắp đặt phòng ngủ và Toilet | |Để lại thông tin trên web hoặc gọi trực tiếp + zalo: 035 312 6411 – 088 869 6029 (NVKD Như Ý) | |Khi nhân viên kinh doanh gọi tư vấn, khách hàng cung cấp kích thước, mẫu mã, phụ kiện đi kèm… | |Hình thức thanh toán bên công ty: 40% đặt cọc, 40% giao hàng, 20% lắp dựng hoàn thiện | |Đối với đơn hàng không lắp dựng: 40% đặt cọc, 60% giao hàng. | |Hình thức giao hàng và lắp dựng: Khi có cửa được nhân viên kinh doanh gọi giao hàng. Sau khi giao cửa và thu số tiền đợt 2 sẽ bố trí thợ lắp đặt trong ngày hôm sau. | |>> Xem thêm báo giá cửa nhựa gỗ Composite  tại đây. | |>>> Xem thêm báo giá cửa nhựa ABS Hàn Quốc  tại đây. | |>>> Xem thêm báo giá cửa nhựa Đài Loan  tại đây. | |> >Xem thêm báo giá cửa gỗ công nghiệp  tại đây. | |>  Xem thêm báo giá cửa gỗ MDF  tại đây. | |Xem thêm báo giá cửa thép chống cháy  tại đây. | |Xem thêm báo giá cửa gỗ chống cháy  tại đây. | |THÔNG TIN NHÀ CUNG CẤP  | |HOTLINE: 035.312.6411 – 088.869.6029 Gặp NVKD (Như Ý) | |WEBSITE: http://Cuanhuacuago.net | |FANPAGE: Cửa nhựa cửa gỗ | |SHOWROOM CÔNG TY KINGDOOR | |SHOWROOM 1: 639 QL 13 P.Hiệp Bình Phước, TP.Thủ Đức | |SHOWROOM 2: 602 Kinh Dương Vương, P.An Lạc, Q.Tân Bình | |SHOWROOM 3: 731 Lê Hồng Phong, P.Phước Long, Tp. Nha Trang | |SHOWROOM 4: 671 Nguyễn Duy Trinh, Bình Trưng Đông, Quận 2",
20,4800,"Chỉ 2 tỉ sở hữu shophouse 4 tầng, chân đế chung cư, tiện ích hoàn chỉnh, dân cư hiện hữu",75,,,"Khu đô thị Vsip Từ Sơn, Bắc Ninh",2023-12-08 13:35:11,"+ Diện tích: 75m2, DTXD: 210m2 |+ Hoàn thiện thô và mặt ngoài 4 tầng |+ Chân đế của 7 toà chung cư |+ Ngay sát khu dân cư đông đúc, sầm uất==> tiềm năng kinh doanh cực tốt |+ Đi đến khu công nghiệp Đại Đồng, Tiên Sơn, Tam Sơn Từ Sơn cực tiện |+ Di chuyển đi Hà Nội và các tỉnh lân cận linh hoạt |+ Hạ tậng, tiện ích đầy đủ ( trường học, bệnh viện, chợ, siêu thị...) |+ An ninh 24/7, gần đồn công an, phòng cháy chữa cháy |+ Môi trường sống trong lành |☎️Liên hệ ngay: Ms Hường 0364 221 333 để xem nhà",
21,1.6,"Bán nhà mới leng keng 110m2 đường ô tô (X.Tân Bình) chỉ 1,6 tỉ",110,3,2,,2023-12-08 13:54:19,"+ Vị trí: Gần ngã tư bến cá,ngay hồ câu Quốc Thịnh. Cách đường hương lộ 7 khoảng 100m |+ Diện tích: 5x22m (110m2) |+ Sổ hồng riêng thổ cư 100% |+ Nhà gác lửng thiết kế hiện đại gồm: 1 phòng khách,3 phòng ngủ,2 tolet,nhà bếp và sân đậu ô tô đường bê tông 7m",
22,1.6,"Bán nhà mới leng keng 110m2 đường ô tô (X.Tân Bình) chỉ 1,6 tỉ",110,3,2,,2023-12-08 13:54:19,"+ Vị trí: Gần ngã tư bến cá,ngay hồ câu Quốc Thịnh. Cách đường hương lộ 7 khoảng 100m |+ Diện tích: 5x22m (110m2) |+ Sổ hồng riêng thổ cư 100% |+ Nhà gác lửng thiết kế hiện đại gồm: 1 phòng khách,3 phòng ngủ,2 tolet,nhà bếp và sân đậu ô tô đường bê tông 7m",
23,12.8,"NHÀ MẶT TIỀN KHU SẦM UẤT QUẬN 4, 4 TẦNG, NGAY NGÃ 3 NGUYỄN TẤT THÀNH, GIÁ ĐẦU TƯ CỰC TỐT 12,8 TỶ",75,5,6,Đường Xóm Chiếu,2023-12-08 14:17:25,"+ Kết cấu: Trệt, 3 Lầu có sân thượng, đầy đủ công năng gồm 5 Phòng ngủ, 6 WC, Sân Thượng, Bếp, Mặt bằng buôn bán.  |+ Diện tích 75m2: Ngang 3,2m (nở hậu 4m) x 21m |+ Khu Sầm uất kinh doanh đa nghành, Sát Quận 1, Quận 7. |+ Sổ nở hậu đẹp, hoàn công đầy đủ Pháp lý chuẩn, công chứng trong ngày. |Liên hệ ngay để được xem nhà trực tiếp",
24,2.85,"Bán nhà ngõ Thổ quan, Khâm Thiên, gần ô tô, ở ngay 4 tầng 29m2 giá 2.85 tỷ",29,3,3,,2023-12-08 14:40:15,"- Vị trí trung tâm quận Đống Đa ngõ thông tứ tung, di chuyển đi đâu cũng tiện, an ninh cực tốt. |Diện tích xây dựng 29m2, diện tích sổ đỏ 25m2 |- Nhà được thiết kế và xây dựng 4 tầng cực chắc chắn, đầy đủ công năng sử dụng. |+ Tầng 1: PK, để xe |+ Tầng 2: khu bếp, 1 pn, wc |+ Tầng 3: 2 pn, wc |+ Tầng 4: Thờ, sân phơi  |Sổ đỏ chính chủ, sẵn sàng giao dịch |Giá có thương lượng",
25,32.7,"BÁN NHÀ MẶT PHỐ THANH XU N, DT134M2X8T, MT5.4M, THANG MÁY, KD, 32.7TỶ",134,8,88,,2023-12-08 14:46:35,"- Toà nhà được xây dựng vô cùng chắc chắn, phù hợp công năng vừa ở vừa cho thuê. Diện tích cực rộng, phù hợp cho thuê văn phòng, nhà mẫu giáo, phòng khám, spa,.... Thang máy nhập khẩu xịn xò, lên tới tận tầng 8. Nhà có thoáng phía sau, phòng nào cũng có cửa sổ rộng. Thiết kế :  |Tầng 1,2,3,4 : Kinh doanh thiết bị vệ sinh, gạch ốp lát… |     +   Tầng 5,6,7 : Thiết kế ở. |     +   Tầng 8 : kho, khu cafe, khu nướng BBQ. |- Khu vực xung quanh dân trí cao, hàng xóm thân thiện, an sinh cực đỉnh, an ninh vô cùng, ở cực sướng. |- Sổ đỏ vuông đẹp, không lỗi phong thủy, không tranh chấp, chính chủ sẵn sàng giao dịch. |       Trong kho hàng của tôi còn có rất nhiều căn khác tương đương, quý khách có thể tham khảo thêm.  |              ( Ảnh thật 100% không đúng tặng nhà )",
26,6.8,BÁN NHÀ PHỐ TRƯỜNG CHINH 68M - TT THANH XU N MẶT TIỀN 6M - NGÕ THÔNG - DÒNG TIỀN 150TR. LH: 0393838449,68,,,,2023-12-08 14:50:19,"  |+ Trung tâm quận Thanh Xuân gần các tuyến phố lớn: Tây Sơn, Vương Thừa Vũ, Lê Trọng Tấn, Tôn Thất Tùng, Nguyễn Trãi, Láng vài bước ra Trung Tâm Royal City. | |+ Ngõ to đẹp, trước nhà rộng rãi, sáng thoáng, an sinh tuyệt vời vài bước ra chợ. |  |+ Nhà gần Bệnh viện Đại học Y, Bệnh Viện Bạch Mai. Gần ĐH Y HN, Đại học Thủy Lơi, Học Viện Ngân Hàng, ĐH Kinh Tế quốc dân, ĐH Xây Dựng, ĐH Bách Khoa, ĐH Quốc Gia. |  |+ Nhà chủ xây cẩn thận, khung cột chắc chắn, 03 tầng 04 ngủ đủ công năng ở ngay không sửa chữa.   |+ Sổ đỏ chính chủ, sẵn sàng giao dịch. |  |+ Giá chào: 6 tỷ 8 (có thương lượng). |  |Liên hệ: Mr. Thái Sơn chuyên nhà đẹp Thanh Xuân-Đống Đa |Để được xem nhà và tư vấn miễn phí 24/7 |  |Gọi ngay: 0393838449 (Zalo)",
27,3.4,"Nhà Chính chủ hẻm taxi Mễ Cốc, P15, Q8. Giá 3.4tỷ",110,,,"Nhà Chính chủ hẻm taxi Mễ Cốc, P15, Q8.",2023-12-08 14:56:20,"+ Diện tích sàn sử dụng 105m. Thiết kế: Trệt + 2Lầu + sân thượng |+ Diện tích 37m2. Ngang 4.2m x 9m. Nhà xây dựng kiên cố. |+ Thiết kế: Trệt + 2lầu + Sân thượng. 4PN, 3WC. Hẻm taxi tận cửa |+ Sổ hồng hoàn công đầy đủ. Cách mặt đường 20m. |+ Giá 3.4tỷ. Bớt lộc, Cần bán gấp. Có bớt cho khách mua nhanh. |+ An tâm tuyệt đối vì được hỗ trợ pháp lý đầy đủ khi mua bán.  |Liên hệ: 0906 072 039. Bé Bảo. Trung Tâm mua bán ký gửi nhà đất các Quận",
28,TT,"Bán nhà Trần Xuân Soạn, phường Tân Hưng, Q.7 – 12m2, hẻm xe máy, giá 1.x tỷ",12,,,,2023-12-08 15:36:51," |+ Diện tích ngang: 3m ; dài 4m | |+ Diện tích sử dụng: 24m vuông | |+ Khu dân cư hiện hữu, không quy hoạch. Ngay trung tâm quận 7 rất thuận tiện di chuyển các quận 1,4,5,8 | |+ Thích hợp cho vợ chồng trẻ ra ở riêng",
29,4.85,"Văn Quán Hà Đông, nhà đẹp ở luôn, ô tô đỗ cửa, 30m2, 4.85 tỷ",30,,3,Văn Quán Hà Đông,2023-12-08 16:37:34,"+ Diện tích 30m2, nhà xây 5 tầng chắc chắn, nội thất đẹp lung linh. |+ Trước nhà có khoảng sân rất rộng thoáng vĩnh viễn, để không hết xe. |+ Khu vực đông đúc dân cư, tiện ích bạt ngàn, cách Hồ Văn Quán 300m, gần UBND phường Văn Quán, Tiểu học Nguyễn Du, THCS Văn Quán, chợ xanh Văn Quán,... |+ Chủ nhà chị Phương hiền lành tốt tính, nay bán đi gia đình chuyển sang căn rộng hơn. |+ Giá  4.85 tỷ ( có thương lượng với khách thiện chí)  |+ Sổ đỏ chính chủ, sẵn sàng giao dịch. |+ Liên hệ E Quân Nhà Đẹp 0934503893 xem nhà ngay.",
